page,media_id,class,poster_url,video_1080p,video_720p,video_480p,note
home,747fdf_688f2cc08d8844f3ac6f2a60e7335ecff000,VIDEO_EOV,https://static.wixstatic.com/media/747fdf_688f2cc08d8844f3ac6f2a60e7335ecff000.jpg,https://video.wixstatic.com/video/747fdf_688f2cc08d8844f3ac6f2a60e7335ecff000/1080p/mp4/file.mp4,https://video.wixstatic.com/video/747fdf_688f2cc08d8844f3ac6f2a60e7335ecff000/720p/mp4/file.mp4,https://video.wixstatic.com/video/747fdf_688f2cc08d8844f3ac6f2a60e7335ecff000/480p/mp4/file.mp4,In the OPEC / UAE NIGHT VIENNA carousel. Highest value asset on the site.
digital-solutions,747fdf_836cbcf06bcd4b2f9992223b63bbf988f000,VIDEO_EOV,https://static.wixstatic.com/media/747fdf_836cbcf06bcd4b2f9992223b63bbf988f000.jpg,https://video.wixstatic.com/video/747fdf_836cbcf06bcd4b2f9992223b63bbf988f000/1080p/mp4/file.mp4,https://video.wixstatic.com/video/747fdf_836cbcf06bcd4b2f9992223b63bbf988f000/720p/mp4/file.mp4,https://video.wixstatic.com/video/747fdf_836cbcf06bcd4b2f9992223b63bbf988f000/480p/mp4/file.mp4,EOV media library. Section background.
about,11062b_4340bbcd93f14d92b07da0b006fc5f43f000,VIDEO_STOCK,https://static.wixstatic.com/media/11062b_4340bbcd93f14d92b07da0b006fc5f43f000.jpg,https://video.wixstatic.com/video/11062b_4340bbcd93f14d92b07da0b006fc5f43f000/1080p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_4340bbcd93f14d92b07da0b006fc5f43f000/720p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_4340bbcd93f14d92b07da0b006fc5f43f000/480p/mp4/file.mp4,Wix stock library account 11062b.
digital-presence,11062b_f3dd34b99b504ca6bf6f4f27698dc7f6f000,VIDEO_STOCK,https://static.wixstatic.com/media/11062b_f3dd34b99b504ca6bf6f4f27698dc7f6f000.jpg,https://video.wixstatic.com/video/11062b_f3dd34b99b504ca6bf6f4f27698dc7f6f000/1080p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_f3dd34b99b504ca6bf6f4f27698dc7f6f000/720p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_f3dd34b99b504ca6bf6f4f27698dc7f6f000/480p/mp4/file.mp4,Wix stock. Below Digital Engagement section.
digital-solutions,11062b_8585b81392db43fd9386b680ca9a1490f000,VIDEO_STOCK,https://static.wixstatic.com/media/11062b_8585b81392db43fd9386b680ca9a1490f000.jpg,https://video.wixstatic.com/video/11062b_8585b81392db43fd9386b680ca9a1490f000/1080p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_8585b81392db43fd9386b680ca9a1490f000/720p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_8585b81392db43fd9386b680ca9a1490f000/480p/mp4/file.mp4,Wix stock.
innovation-consultation,11062b_35e9285f1ebe467fb1a48754a84d90cff000,VIDEO_STOCK,https://static.wixstatic.com/media/11062b_35e9285f1ebe467fb1a48754a84d90cff000.jpg,https://video.wixstatic.com/video/11062b_35e9285f1ebe467fb1a48754a84d90cff000/1080p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_35e9285f1ebe467fb1a48754a84d90cff000/720p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_35e9285f1ebe467fb1a48754a84d90cff000/480p/mp4/file.mp4,Wix stock. Design and Build Requirements section.
contact,11062b_228cb15c033f46998dc2797f1c7a2d2ff000,VIDEO_STOCK,https://static.wixstatic.com/media/11062b_228cb15c033f46998dc2797f1c7a2d2ff000.jpg,https://video.wixstatic.com/video/11062b_228cb15c033f46998dc2797f1c7a2d2ff000/1080p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_228cb15c033f46998dc2797f1c7a2d2ff000/720p/mp4/file.mp4,https://video.wixstatic.com/video/11062b_228cb15c033f46998dc2797f1c7a2d2ff000/480p/mp4/file.mp4,Wix stock.
